Market Name,Outcome,Bet Price
Atlanta Braves - Michael Harris II Total Runs Scored,Over 82.5,-115
Atlanta Braves - Michael Harris II Total Runs Scored,Under 82.5,-115
Atlanta Braves - Michael Harris II Total Stolen Bases,Over 22.5,-115
Atlanta Braves - Michael Harris II Total Stolen Bases,Under 22.5,-115
Atlanta Braves - Ozzie Albies Total Hits,Over 159.5,-115
Atlanta Braves - Ozzie Albies Total Hits,Under 159.5,-115
Atlanta Braves - Ozzie Albies Total Home Runs,Over 27.5,-115
Atlanta Braves - Ozzie Albies Total Home Runs,Under 27.5,-115
Atlanta Braves - Ozzie Albies Total RBIs,Over 91.5,-115
Atlanta Braves - Ozzie Albies Total RBIs,Under 91.5,-115
Atlanta Braves - Ozzie Albies Total Runs Scored,Over 95.5,-115
Atlanta Braves - Ozzie Albies Total Runs Scored,Under 95.5,-115
Atlanta Braves - Ronald Acuna Jr. Total Hits,Over 187.5,-115
Atlanta Braves - Ronald Acuna Jr. Total Hits,Under 187.5,-115
Atlanta Braves - Ronald Acuna Jr. Total Home Runs,Over 38.5,-115
Atlanta Braves - Ronald Acuna Jr. Total Home Runs,Under 38.5,-115
Atlanta Braves - Ronald Acuna Jr. Total RBIs,Over 100.5,-115
Atlanta Braves - Ronald Acuna Jr. Total RBIs,Under 100.5,-115
Atlanta Braves - Ronald Acuna Jr. Total Runs Scored,Over 130.5,-115
Atlanta Braves - Ronald Acuna Jr. Total Runs Scored,Under 130.5,-115
Atlanta Braves - Ronald Acuna Jr. Total Stolen Bases,Over 57.5,-115
Atlanta Braves - Ronald Acuna Jr. Total Stolen Bases,Under 57.5,-115
Baltimore Orioles - Adley Rutschman Total Hits,Over 150.5,-115
Baltimore Orioles - Adley Rutschman Total Hits,Under 150.5,-115
Baltimore Orioles - Adley Rutschman Total Home Runs,Over 20.5,-115
Baltimore Orioles - Adley Rutschman Total Home Runs,Under 20.5,-115
Baltimore Orioles - Adley Rutschman Total RBIs,Over 70.5,-115
Baltimore Orioles - Adley Rutschman Total RBIs,Under 70.5,-115
Baltimore Orioles - Adley Rutschman Total Runs Scored,Over 80.5,-115
Baltimore Orioles - Adley Rutschman Total Runs Scored,Under 80.5,-115
Baltimore Orioles - Anthony Santander Total Hits,Over 145.5,-115
Baltimore Orioles - Anthony Santander Total Hits,Under 145.5,-115
Baltimore Orioles - Anthony Santander Total Home Runs,Over 28.5,-115
Baltimore Orioles - Anthony Santander Total Home Runs,Under 28.5,-115
Baltimore Orioles - Anthony Santander Total RBIs,Over 89.5,-115
Baltimore Orioles - Anthony Santander Total RBIs,Under 89.5,-115
Baltimore Orioles - Anthony Santander Total Runs Scored,Over 78.5,-115
Baltimore Orioles - Anthony Santander Total Runs Scored,Under 78.5,-115
Baltimore Orioles - Cedric Mullins Total Hits,Over 135.5,-110
Baltimore Orioles - Cedric Mullins Total Hits,Under 135.5,-120
Baltimore Orioles - Cedric Mullins Total Runs Scored,Over 70.5,-115
Baltimore Orioles - Cedric Mullins Total Runs Scored,Under 70.5,-115
Baltimore Orioles - Cedric Mullins Total Stolen Bases,Over 24.5,-115
Baltimore Orioles - Cedric Mullins Total Stolen Bases,Under 24.5,-115
Baltimore Orioles - Gunnar Henderson Total Hits,Over 148.5,-120
Baltimore Orioles - Gunnar Henderson Total Hits,Under 148.5,-110
Baltimore Orioles - Gunnar Henderson Total Home Runs,Over 27.5,-110
Baltimore Orioles - Gunnar Henderson Total Home Runs,Under 27.5,-120
Baltimore Orioles - Gunnar Henderson Total RBIs,Over 83.5,-115
Baltimore Orioles - Gunnar Henderson Total RBIs,Under 83.5,-115
Baltimore Orioles - Gunnar Henderson Total Runs Scored,Over 95.5,-115
Baltimore Orioles - Gunnar Henderson Total Runs Scored,Under 95.5,-115
Boston Red Sox - Masataka Yoshida Total Hits,Over 149.5,-115
Boston Red Sox - Masataka Yoshida Total Hits,Under 149.5,-115
Boston Red Sox - Masataka Yoshida Total Home Runs,Over 16.5,-115
Boston Red Sox - Masataka Yoshida Total Home Runs,Under 16.5,-115
Boston Red Sox - Rafael Devers Total Hits,Over 168.5,-115
Boston Red Sox - Rafael Devers Total Hits,Under 168.5,-115
