Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Bubba Thompson","MIN",20.4067,55.2146,50.9491,11.736,8.60483,2.44578,0.158479,0.526868,7.00932,4.02519,3.15236,0.0338339,15.6214,0.350092,0.177678,0.585403,0.507779,3.66871,0.523088,0.230347,0.0570929,0.282921,0.201798,0.278942,0.315595,0.263116,0.594538,0.0852486,7.15721,0.320456,-0.123209,0.41993,4.19364,-2.53394,64.7114,0.296721,0.178566,-2.0379255414009094,0.4934850037097931,0.0330588,750.1900024414062,2.81186,-0.985357,2.01858,"22261"
"Weston Wilson","PHI",10.061,34.9869,31.5863,6.63545,3.80603,1.48715,0.0346064,1.30767,4.34744,4.08384,3.19109,0.047617,11.0292,0.122265,0.048885,0.0383953,0.185034,1.20573,0.196325,0.210074,0.0912081,0.315237,0.289332,0.28467,0.383547,0.291108,0.668217,0.173473,5.26736,0.276075,-0.106666,0.103793,3.47066,-0.792293,79.7597,-0.00287297,-0.310746,-0.8801594011019915,-0.00022080540657043457,0.0310356,748.780029296875,3.92053,2.22539,2.0018,"19358"
"Jimmy Herron","COL",9.29113,37.202,33.3932,8.20982,5.42562,1.72449,0.0689295,0.990777,4.50403,3.87764,3.14395,0.0358232,8.28718,0.547794,0.0602872,0.0567716,0.762642,1.36181,0.185345,0.245853,0.0845103,0.222762,0.379375,0.320406,0.390633,0.312254,0.711039,0.14478,5.41768,0.298609,-0.117077,0.124157,4.34375,-0.189099,79.5139,0.00708,0.110827,-0.9370768843218684,-0.032554179430007935,0.0296588,999,1.5824,-0.334917,2.04541,"sa3008183"
"Roman Anthony","BOS",5.95712,23.5097,20.7173,4.77097,3.08709,1.03044,0.019859,0.633581,2.52324,2.61811,2.5887,0,6.3269,0.0856818,0.0513891,0.0666348,0,0.223623,0.0755757,0.230289,0.110112,0.269119,0.409157,0.317592,0.373691,0.305877,0.691283,0.143402,3.17548,0.299632,-0.0136676,-0.0315669,2.6205,-0.244025,86.8723,-0.0452346,0.0524648,-0.41503487527370453,-0.10075333714485168,0.0282175,999,2.45284,1.34969,2.07141,"sa3020211"
"Nick Martini","CIN",24.9158,86.0293,75.9435,18.2012,12.1041,2.99845,0.177188,2.9215,9.66116,10.076,7.9818,0.0981662,20.5603,1.42849,0.608413,0.0671538,1.43739,0.194135,0.0562336,0.239668,0.09278,0.238991,0.388215,0.321205,0.399225,0.315242,0.72043,0.159557,2.57365,0.287915,-0.120813,-0.149922,10.2583,-0.223848,91.3565,-0.270736,-0.0247819,-1.1919425427913666,-1.4858941417187452,0.0251514,749.0499877929688,3.51858,0.925545,1.79197,"12005"
"Christian Arroyo","MIL",30.1979,104.735,97.5792,24.5827,18.645,4.54888,0.114319,1.27457,11.5032,11.3955,4.8711,0.127827,21.2012,1.70451,0.269298,0.311123,1.64019,0.615732,0.221332,0.251926,0.0465087,0.202426,0.229756,0.298383,0.340072,0.281742,0.638455,0.088146,3.33439,0.309239,-0.0661245,-0.163616,9.57495,-3.18643,70.1441,-0.22974,0.270645,-3.9764964133501053,0.6554747223854065,0.0236778,999,4.46691,0.750419,1.77955,"16434"
"Jonatan Clase","SEA",13.7033,40.1992,36.4068,7.6103,4.7166,1.75845,0.137393,0.997845,4.87549,3.74997,3.46482,0.0132242,13.0108,0.327612,0,0,0.223545,3.04862,0.280439,0.209035,0.0861913,0.323657,0.266305,0.283655,0.347107,0.278824,0.630763,0.138072,7.33613,0.295222,-0.093171,0.425895,3.57762,-1.32042,78.5877,0.332724,0,-0.6986464858055115,-0.44311320781707764,0.0223411,999,0.771116,1.95815,2.03062,"sa3008787"
"Gilberto Celestino","PIT",16.6391,57.229,50.8158,12.0088,9.37209,1.89041,0.084506,0.661785,6.44457,5.59472,5.90861,0.0471841,12.0115,0.307405,0.0774373,0.119702,1.51584,0.566516,0.141728,0.23632,0.103245,0.209884,0.491914,0.319122,0.315917,0.287116,0.635038,0.0795968,3.58694,0.296887,-0.0949833,-0.0662619,5.48734,-1.48568,76.217,-0.161245,-0.152991,-1.8474152833223343,0.10378456115722656,0.0204944,999,3.08318,-0.00918756,1.94239,"20233"
"Jordan Groshans","MIA",10.5225,42.6529,38.564,9.37959,6.76736,2.08496,0.0331321,0.494132,4.11468,3.94842,3.84074,0.0532292,8.29389,0.127139,0.0643579,0.0566589,0.925068,0.0595496,0.0190053,0.243221,0.0900464,0.194451,0.463081,0.313348,0.337444,0.289964,0.650793,0.0942232,2.0779,0.297766,-0.0187089,-0.078418,4.19061,-1.0064,79.0707,-0.0971269,-0.206195,-1.2030434384942055,-0.04947535693645477,0.0199627,999,3.46281,0.848275,2.01852,"23794"
"Kenedy Corona","HOU",8.6682,33.0124,30.437,6.67605,4.32811,1.36248,0.0379797,0.947493,3.96274,3.47935,2.30449,0.0472822,9.5368,0.166328,0.0538465,0.0507183,0.223723,1.04091,0.307207,0.21934,0.069807,0.288886,0.241642,0.277501,0.359989,0.278429,0.637489,0.140648,5.06001,0.286335,-0.0401219,0.0264945,2.92718,-1.09519,74.8855,-0.0136274,-0.0544519,-1.00704799965024,0.07931656762957573,0.0193344,999,2.2771,0.486725,2.02707,"sa3009845"
