,name,team,position,matchup,over_line,under_line,over_cost,under_cost,over_cost_USA,under_cost_USA,date
148,Chi Chi Gonzalez,FA,"RP,SP",COL at STL,3.5,4.5,0.5348837209302325,0.6923076923076923,(-115),(-225),2021-05-08
149,Trevor Williams,WSH,SP,PIT at CHC,4.5,4.5,0.5614035087719298,0.4807692307692308,(-128),(+108),2021-05-08
150,Joe Musgrove,SD,SP,SD at SF,6.5,7.5,0.5967741935483871,0.6168582375478927,(-148),(-161),2021-05-08
151,Kevin Gausman,TOR,SP,SD at SF,5.5,5.5,0.576271186440678,0.47619047619047616,(-136),(+110),2021-05-08
152,Tyler Glasnow,LAD,SP,TB at OAK,8.5,8.5,0.5283018867924528,0.5283018867924528,(-112),(-112),2021-05-08
153,Frankie Montas,CIN,"SP,RP",TB at OAK,5.5,6.5,0.5967741935483871,0.5708154506437768,(-148),(-133),2021-05-08
154,Jose Urena,TEX,SP,MIN at DET,4.5,4.5,0.47619047619047616,0.5815899581589958,(+110),(-139),2021-05-08
155,Jose Berrios,TOR,SP,MIN at DET,6.5,6.5,0.5689655172413793,0.47619047619047616,(-132),(+110),2021-05-08
156,Adrian Houser,NYM,SP,MIL at MIA,3.5,5.5,0.6363636363636364,0.6774193548387096,(-175),(-210),2021-05-08
157,Luis Castillo,SEA,SP,CIN at CLE,5.5,5.5,0.43478260869565216,0.5815899581589958,(+130),(-139),2021-05-08
158,Aaron Civale,TB,SP,CIN at CLE,4.5,5.5,0.6062992125984252,0.6062992125984252,(-154),(-154),2021-05-08
159,Garrett Richards,FA,RP,BOS at BAL,5.5,5.5,0.49019607843137253,0.5454545454545454,(+104),(-120),2021-05-08
160,Kohei Arihara,FA,SP,SEA at TEX,3.5,3.5,0.4716981132075472,0.5412844036697247,(+112),(-118),2021-05-08
161,Lance Lynn,STL,SP,CWS at KC,5.5,6.5,0.5614035087719298,0.6153846153846154,(-128),(-160),2021-05-08
162,Merrill Kelly,ARI,SP,ARI at NYM,4.5,4.5,0.45454545454545453,0.5934959349593496,(+120),(-146),2021-05-08
163,Cristian Javier,HOU,SP,TOR at HOU,5.5,5.5,0.5798319327731093,0.46511627906976744,(-138),(+115),2021-05-08
164,Steven Matz,STL,"SP,RP",TOR at HOU,4.5,4.5,0.4878048780487805,0.5145631067961165,(+105),(-106),2021-05-08
165,Ian Anderson,ATL,SP,PHI at ATL,5.5,6.5,0.5983935742971888,0.609375,(-149),(-156),2021-05-08
166,Vincent Velasquez,FA,"SP,RP",PHI at ATL,5.5,5.5,0.47619047619047616,0.588477366255144,(+110),(-143),2021-05-08
167,Dylan Bundy,FA,SP,LAD at LAA,5.5,6.5,0.5815899581589958,0.6453900709219859,(-139),(-182),2021-05-08
168,Clayton Kershaw,LAD,SP,LAD at LAA,6.5,6.5,0.45454545454545453,0.5555555555555556,(+120),(-125),2021-05-08
169,Dean Kremer,BAL,SP,BOS at BAL,4.5,5.5,0.6168582375478927,0.6453900709219859,(-161),(-182),2021-05-09
170,Nick Pivetta,BOS,"SP,RP",BOS at BAL,5.5,5.5,0.42016806722689076,0.6062992125984252,(+138),(-154),2021-05-09
171,Domingo German,FA,SP,WSH at NYY,5.5,5.5,0.5,0.5454545454545454,(EVEN),(-120),2021-05-09
172,Sandy Alcantara,MIA,SP,MIL at MIA,6.5,6.5,0.5145631067961165,0.5495495495495496,(-106),(-122),2021-05-09
173,Riley Smith,FA,"SP,RP",ARI at NYM,3.5,3.5,0.5652173913043478,0.49504950495049505,(-130),(+102),2021-05-09
174,Jacob Degrom,TEX,SP,ARI at NYM,9.5,9.5,0.5798319327731093,0.4807692307692308,(-138),(+108),2021-05-09
175,Mike Minor,FA,SP,CWS at KC,4.5,5.5,0.588477366255144,0.6212121212121212,(-143),(-164),2021-05-09
176,Lucas Giolito,BOS,SP,CWS at KC,7.5,7.5,0.45454545454545453,0.6031746031746031,(+120),(-152),2021-05-09
177,Zack Greinke,FA,SP,TOR at HOU,4.5,4.5,0.5098039215686274,0.5495495495495496,(-104),(-122),2021-05-09
178,German Marquez,COL,SP,COL at STL,5.5,5.5,0.45454545454545453,0.5867768595041323,(+120),(-142),2021-05-09
179,Adam Wainwright,FA,SP,COL at STL,4.5,5.5,0.6363636363636364,0.5614035087719298,(-175),(-128),2021-05-09
180,Tyler Anderson,LAA,SP,PIT at CHC,5.5,5.5,0.45454545454545453,0.6062992125984252,(+120),(-154),2021-05-09
181,Kyle Hendricks,CHC,SP,PIT at CHC,5.5,5.5,0.4065040650406504,0.6503496503496503,(+146),(-186),2021-05-09
182,Dane Dunning,TEX,"SP,RP",SEA at TEX,5.5,5.5,0.5192307692307693,0.5348837209302325,(-108),(-115),2021-05-09
183,Justus Sheffield,FA,"RP,SP",SEA at TEX,5.5,5.5,0.43859649122807015,0.5708154506437768,(+128),(-133),2021-05-09
184,Chris Paddack,MIN,"SP,RP",SD at SF,4.5,4.5,0.5,0.5708154506437768,(EVEN),(-133),2021-05-09
