,name,team,position,matchup,over_line,under_line,over_cost,under_cost,over_cost_USA,under_cost_USA,date
80,Blake Snell,FA,SP,NYM at SD,6.5,7.5,0.5983935742971888,0.6268656716417911,(-149),(-168),2021-06-04
81,Joey Lucchesi,NYM,SP,NYM at SD,3.5,4.5,0.5983935742971888,0.5833333333333334,(-149),(-140),2021-06-04
82,Lucas Giolito,BOS,SP,DET at CWS,7.5,8.5,0.5260663507109005,0.5614035087719298,(-111),(-128),2021-06-05
83,Tarik Skubal,DET,SP,DET at CWS,6.5,6.5,0.43478260869565216,0.5815899581589958,(+130),(-139),2021-06-05
84,Tyler Mahle,TEX,SP,CIN at STL,5.5,5.5,0.47619047619047616,0.5689655172413793,(+110),(-132),2021-06-05
85,Johan Oviedo,PIT,SP,CIN at STL,4.5,4.5,0.42735042735042733,0.6323529411764706,(+134),(-172),2021-06-05
86,Jose Urquidy,HOU,"SP,RP",HOU at TOR,4.5,4.5,0.44642857142857145,0.6124031007751938,(+124),(-158),2021-06-05
87,Ross Stripling,OAK,"SP,RP",HOU at TOR,3.5,3.5,0.5238095238095238,0.5098039215686274,(-110),(-104),2021-06-05
88,Rich Hill,FA,"RP,SP",TB at TEX,5.5,6.5,0.5495495495495496,0.5983935742971888,(-122),(-149),2021-06-05
89,John Means,BAL,SP,CLE at BAL,5.5,5.5,0.4807692307692308,0.5260663507109005,(+108),(-111),2021-06-05
90,Aaron Civale,TB,SP,CLE at BAL,4.5,4.5,0.5726495726495726,0.45454545454545453,(-134),(+120),2021-06-05
91,Trevor Rogers,MIA,SP,MIA at PIT,5.5,6.5,0.6062992125984252,0.6,(-154),(-150),2021-06-05
92,Spencer Howard,SF,"RP,SP",WSH at PHI,4.5,4.5,0.5412844036697247,0.5192307692307693,(-118),(-108),2021-06-05
93,Merrill Kelly,ARI,SP,ARI at MIL,5.5,5.5,0.45454545454545453,0.5983935742971888,(+120),(-149),2021-06-05
94,Brandon Woodruff,FA,SP,ARI at MIL,7.5,7.5,0.425531914893617,0.504950495049505,(+135),(-102),2021-06-05
95,Mike Minor,FA,SP,MIN at KC,6.5,6.5,0.390625,0.5983935742971888,(+156),(-149),2021-06-05
96,Jose Berrios,TOR,SP,MIN at KC,5.5,5.5,0.45454545454545453,0.5454545454545454,(+120),(-120),2021-06-05
97,Jameson Taillon,CHC,SP,BOS at NYY,5.5,6.5,0.5614035087719298,0.6168582375478927,(-128),(-161),2021-06-05
98,Eduardo Rodriguez,ARI,SP,BOS at NYY,5.5,6.5,0.5238095238095238,0.6062992125984252,(-110),(-154),2021-06-05
99,Kevin Gausman,TOR,SP,CHC at SF,6.5,6.5,0.588477366255144,0.4672897196261682,(-143),(+114),2021-06-05
100,Charlie Morton,ATL,SP,LAD at ATL,5.5,5.5,0.5121951219512195,0.5412844036697247,(-105),(-118),2021-06-05
101,Clayton Kershaw,LAD,SP,LAD at ATL,6.5,6.5,0.5145631067961165,0.5238095238095238,(-106),(-110),2021-06-05
102,Cole Irvin,BAL,"SP,RP",OAK at COL,3.5,3.5,0.5412844036697247,0.5121951219512195,(-118),(-105),2021-06-05
103,Kyle Freeland,COL,SP,OAK at COL,3.5,4.5,0.576271186440678,0.6363636363636364,(-136),(-175),2021-06-05
104,Yusei Kikuchi,TOR,SP,SEA at LAA,5.5,5.5,0.5495495495495496,0.4878048780487805,(-122),(+105),2021-06-05
105,Alex Cobb,SF,SP,SEA at LAA,5.5,5.5,0.5,0.5283018867924528,(EVEN),(-112),2021-06-05
106,Jacob Degrom,TEX,SP,NYM at SD,8.5,9.5,0.5815899581589958,0.6153846153846154,(-139),(-160),2021-06-05
107,Joe Musgrove,SD,SP,NYM at SD,7.5,7.5,0.42016806722689076,0.6062992125984252,(+138),(-154),2021-06-05
108,Sandy Alcantara,MIA,SP,MIA at PIT,5.5,5.5,0.45871559633027525,0.5983935742971888,(+118),(-149),2021-06-06
109,Chad Kuhl,CWS,"RP,SP",MIA at PIT,4.5,5.5,0.6254681647940075,0.5652173913043478,(-167),(-130),2021-06-06
110,Cal Quantrill,COL,SP,CLE at BAL,3.5,3.5,0.4854368932038835,0.5726495726495726,(+106),(-134),2021-06-06
111,Jorge Lopez,NYM,RP,CLE at BAL,4.5,4.5,0.4444444444444444,0.6124031007751938,(+125),(-158),2021-06-06
112,Vincent Velasquez,FA,"SP,RP",WSH at PHI,5.5,5.5,0.4716981132075472,0.5867768595041323,(+112),(-142),2021-06-06
113,Luis Garcia P,HOU,SP,HOU at TOR,5.5,5.5,0.45871559633027525,0.5412844036697247,(+118),(-118),2021-06-06
114,Steven Matz,STL,"SP,RP",HOU at TOR,5.5,5.5,0.4098360655737705,0.588477366255144,(+144),(-143),2021-06-06
115,Trevor Bauer,FA,SP,LAD at ATL,7.5,7.5,0.5,0.5412844036697247,(EVEN),(-118),2021-06-06
116,Max Fried,ATL,SP,LAD at ATL,5.5,5.5,0.49019607843137253,0.5454545454545454,(+104),(-120),2021-06-06
117,Caleb Smith,FA,"RP,SP",ARI at MIL,5.5,5.5,0.5614035087719298,0.5,(-128),(EVEN),2021-06-06
118,Corbin Burnes,BAL,SP,ARI at MIL,7.5,8.5,0.5238095238095238,0.6062992125984252,(-110),(-154),2021-06-06
119,Dylan Cease,CWS,SP,DET at CWS,6.5,7.5,0.5145631067961165,0.5708154506437768,(-106),(-133),2021-06-06
120,Jose Urena,TEX,SP,DET at CWS,3.5,3.5,0.5192307692307693,0.5412844036697247,(-108),(-118),2021-06-06
121,Brady Singer,KC,SP,MIN at KC,5.5,5.5,0.46296296296296297,0.588477366255144,(+116),(-143),2021-06-06
122,Bailey Ober,MIN,SP,MIN at KC,4.5,4.5,0.423728813559322,0.635036496350365,(+136),(-174),2021-06-06
123,Dane Dunning,TEX,"SP,RP",TB at TEX,4.5,4.5,0.5,0.5454545454545454,(EVEN),(-120),2021-06-06
124,James Kaprielian,FA,SP,OAK at COL,4.5,4.5,0.5098039215686274,0.5454545454545454,(-104),(-120),2021-06-06
125,German Marquez,COL,SP,OAK at COL,5.5,5.5,0.5652173913043478,0.4878048780487805,(-130),(+105),2021-06-06
126,Kyle Hendricks,CHC,SP,CHC at SF,3.5,4.5,0.5708154506437768,0.5575221238938053,(-133),(-126),2021-06-06
127,Johnny Cueto,FA,SP,CHC at SF,4.5,5.5,0.5,0.6825396825396826,(EVEN),(-215),2021-06-06
128,Patrick Sandoval,LAA,SP,SEA at LAA,4.5,4.5,0.5,0.5708154506437768,(EVEN),(-133),2021-06-06
129,Marcus Stroman,NYY,SP,NYM at SD,4.5,5.5,0.5121951219512195,0.6376811594202898,(-105),(-176),2021-06-06
