,name,team,position,matchup,over_line,under_line,over_cost,under_cost,over_cost_USA,under_cost_USA,date
103,Carlos Martinez,FA,SP,MIL at STL,4.5,4.5,0.6453900709219859,0.425531914893617,(-182),(+135),2021-04-10
104,Frankie Montas,CIN,"SP,RP",OAK at HOU,4.5,4.5,0.4854368932038835,0.4444444444444444,(+106),(+125),2021-04-10
105,Jose Urquidy,HOU,"SP,RP",OAK at HOU,5.5,5.5,0.4424778761061947,0.5412844036697247,(+126),(-118),2021-04-10
106,Logan Webb,SF,SP,COL at SF,4.5,5.5,0.6168582375478927,0.6428571428571429,(-161),(-180),2021-04-10
107,Chi Chi Gonzalez,FA,"RP,SP",COL at SF,3.5,3.5,0.5454545454545454,0.4854368932038835,(-120),(+106),2021-04-10
108,Aaron Civale,TB,SP,DET at CLE,5.5,5.5,0.5238095238095238,0.5555555555555556,(-110),(-125),2021-04-10
109,Tarik Skubal,DET,SP,DET at CLE,4.5,4.5,0.5121951219512195,0.5555555555555556,(-105),(-125),2021-04-10
110,Mitch Keller,PIT,SP,CHC at PIT,5.5,5.5,0.5121951219512195,0.5495495495495496,(-105),(-122),2021-04-10
111,Zach Davies,FA,SP,CHC at PIT,3.5,5.5,0.6753246753246753,0.6453900709219859,(-208),(-182),2021-04-10
112,Bruce Zimmerman,BAL,RP,BOS at BAL,3.5,3.5,0.49504950495049505,0.5614035087719298,(+102),(-128),2021-04-10
113,Jordan Lyles,KC,SP,SD at TEX,4.5,4.5,0.4444444444444444,0.6124031007751938,(+125),(-158),2021-04-10
114,Chris Paddack,MIN,"SP,RP",SD at TEX,5.5,6.5,0.5348837209302325,0.6666666666666666,(-115),(-200),2021-04-10
115,Steven Matz,STL,"SP,RP",LAA at TOR,4.5,5.5,0.5708154506437768,0.6453900709219859,(-133),(-182),2021-04-10
116,Jose Quintana,NYM,SP,LAA at TOR,3.5,4.5,0.5815899581589958,0.6,(-139),(-150),2021-04-10
117,Zach Eflin,TB,SP,PHI at ATL,5.5,5.5,0.5121951219512195,0.5283018867924528,(-105),(-112),2021-04-10
118,Ian Anderson,ATL,SP,PHI at ATL,5.5,7.5,0.6254681647940075,0.6453900709219859,(-167),(-182),2021-04-10
119,Riley Smith,FA,"SP,RP",CIN at ARI,5.5,5.5,0.37037037037037035,0.7041420118343196,(+170),(-238),2021-04-10
120,Jeff Hoffman,PHI,RP,CIN at ARI,4.5,4.5,0.43478260869565216,0.5614035087719298,(+130),(-128),2021-04-10
121,Julio Urias,FA,SP,WSH at LAD,5.5,5.5,0.6,0.45871559633027525,(-150),(+118),2021-04-10
122,Nick Pivetta,BOS,"SP,RP",BOS at BAL,4.5,5.5,0.5555555555555556,0.7058823529411765,(-125),(-240),2021-04-11
123,Jorge Lopez,NYM,RP,BOS at BAL,3.5,4.5,0.5260663507109005,0.696969696969697,(-111),(-230),2021-04-11
124,Jonathan Brubaker,PIT,SP,CHC at PIT,5.5,5.5,0.47619047619047616,0.5370370370370371,(+110),(-116),2021-04-11
125,Trevor Williams,WSH,SP,CHC at PIT,4.5,4.5,0.5,0.5535714285714286,(EVEN),(-124),2021-04-11
126,Jordan Montgomery,FA,SP,NYY at TB,6.5,6.5,0.504950495049505,0.5575221238938053,(-102),(-126),2021-04-11
